iter	RMSE
353	561.2994519
354	561.1729371
355	561.054202
356	561.0160855
357	560.9839506
358	560.9008056
359	560.8252797
360	560.8028035
361	560.7485232
362	560.6676557
363	560.6184997
364	560.5497831
365	560.44949
366	560.3371036
367	560.2874234
368	560.1717614
369	560.0638427
370	560.0398666
371	559.980883
372	559.9154135
373	559.8946151
374	559.8565537
375	559.769079
376	559.6612123
377	559.5958211
378	559.5428766
379	559.496416
380	559.3906095
381	559.3294548
382	559.2224593
383	559.186411
384	559.1104424
385	559.0699141
386	559.0632637
387	559.0217583
388	559.0109794
389	558.9099728
390	558.8386587
391	558.7972232
392	558.7275668
393	558.6876812
394	558.649236
395	558.637614
396	558.5813649
397	558.5142593
398	558.4478429
399	558.3923627
400	558.3348956
401	558.2810947
402	558.2282337
403	558.2187681
404	558.1817344
405	558.1389225
406	558.0998678
407	558.0320391
408	557.9738695
409	557.9189886
410	557.8622206
411	557.8170968
412	557.7880515
413	557.7508355
414	557.7041061
415	557.6565189
416	557.6454452
417	557.5936774
418	557.5325189
419	557.5138604
420	557.4489425
421	557.3856803
422	557.313596
423	557.2681595
424	557.2238471
425	557.1789487
426	557.1458092
427	557.0883082
428	557.0119602
429	556.9363973
430	556.8864471
431	556.8093101
432	556.7297535
433	556.7117859
434	556.6564106
435	556.6459601
436	556.5991007
437	556.4954605
438	556.4562768
439	556.4012279
440	556.3299664
441	556.2774393
442	556.2443696
443	556.1416839
444	556.1127188
445	556.103863
446	556.0682651
447	556.0239856
448	555.993258
449	555.9428623
450	555.8866682
451	555.8459969
452	555.777485
453	555.7608049
454	555.7252188
455	555.7079854
456	555.6555054
457	555.610757
458	555.6006532
459	555.5567786
460	555.5183434
461	555.4882755
462	555.4390571
463	555.3795318
464	555.3168068
465	555.269492
466	555.182903
467	555.1191527
468	555.0692601
469	555.0297703
470	555.0124244
471	554.9879019
472	554.9409328
473	554.9281963
474	554.8332222
475	554.7700562
476	554.7412527
477	554.6945616
478	554.655067
479	554.5748224
480	554.4762562
481	554.4635097
482	554.4257345
483	554.3857233
484	554.332751
485	554.261495
486	554.2458221
487	554.202523
488	554.1632587
489	554.0096663
490	553.9568738
491	553.9028099
492	553.8755395
493	553.8381944
494	553.7564024
495	553.7085836
496	553.6451519
497	553.6161873
498	553.5725263
499	553.4806984
500	553.4384681
501	553.4269795
502	553.4159622
503	553.3587959
504	553.3102633
505	553.232121
506	553.1917871
507	553.1556777
508	553.1417608
509	553.1087804
510	553.0488583
511	552.9927042
512	552.9555305
513	552.9339652
514	552.8831641
515	552.8479117
516	552.8034907
517	552.7406816
518	552.7007794
519	552.6487452
520	552.6206886
521	552.5876915
522	552.5709149
523	552.5327483
524	552.4708346
525	552.4648484
526	552.4316562
527	552.4117178
528	552.345916
529	552.3150839
530	552.2739129
531	552.2390906
532	552.1844151
533	552.1390146
534	552.1198032
535	552.1051794
536	552.0616157
537	552.0047944
538	551.975077
539	551.9281685
540	551.9217098
541	551.8893681
542	551.8797607
543	551.8607791
544	551.8166758
545	551.7847884
546	551.7549556
547	551.7030475
548	551.6487574
549	551.6104893
550	551.5417777
551	551.5009917
552	551.4330441
553	551.3823893
554	551.3420631
555	551.3115744
556	551.2630035
557	551.2502245
558	551.1786572
559	551.1614916
560	551.1102618
561	551.0686514
562	551.023947
563	551.0053262
564	550.9830565
565	550.8717261
566	550.8384352
567	550.7890815
568	550.7519223
569	550.7237356
570	550.7147964
571	550.6821188
572	550.6498596
573	550.6014161
574	550.4853687
575	550.4341665
576	550.4256464
577	550.4083581
578	550.3423286
579	550.3217572
580	550.2775103
581	550.2409576
582	550.135311
583	550.0863626
584	550.0527405
585	550.018729
586	549.9931533
587	549.9516954
588	549.912068
589	549.8841235
590	549.8371546
591	549.8050317
592	549.7739294
593	549.7092256
594	549.6727818
595	549.6436929
596	549.55142
597	549.5249024
598	549.4878049
599	549.4614867
